Species,CommonName,Description
Pseudetroplus maculatus,Orange chromide,"Known as the orange chromide, this cichlid is native to southern India and Sri Lanka. It inhabits brackish lagoons and rivers, feeding on algae and detritus. It is widely kept in aquariums and used in aquaculture."
Tilapia guinasana,Otjikoto tilapia,"Endemic to Lake Guinas in Namibia, this tilapia inhabits deep, clear waters. It feeds on plankton and algae, and males establish territories for breeding. Restricted range makes it vulnerable to environmental changes."
Abbottina rivularis,Chinese false gudgeon,"Known as the Chinese false gudgeon, it is native to East Asia, inhabiting rivers, lakes, and reservoirs. It feeds on benthic invertebrates and detritus. Often abundant, it serves as prey for larger fishes."
Acanthogobius flavimanus,Yellowfin goby,"The yellowfin goby, native to East Asia, inhabits estuaries and coastal rivers. It feeds on benthic invertebrates and small fish. Introduced to California, where it has become invasive."
Amatitlania nigrofasciata,Convict cichlid,"The convict cichlid, native to Central America, is known for its black vertical stripes. It inhabits streams and lakes with rocky substrates and is highly territorial. Exhibits strong parental care, making it popular in behavioral studies."
Ambloplites cavifrons,Roanoke bass,"Known as the Roanoke bass, this sunfish is native to Virginia and North Carolina rivers. It inhabits clear, rocky streams and feeds on insects, crayfish, and small fish. It is threatened by habitat loss and hybridization with rock bass."
Amphilophus citrinellus,Midas cichlid,"The Midas cichlid, native to Nicaragua and Costa Rica, is recognized for its bright orange coloration in captivity. In the wild, it inhabits volcanic lakes, feeding on plants, snails, and detritus. Known for its aggressive behavior and rapid speciation."
Apeltes quadracus,Fourspine stickleback,"The fourspine stickleback, native to North America, inhabits estuaries, streams, and lakes. Males build nests from vegetation and guard eggs until hatching. It feeds on small invertebrates and plankton."
Aphredoderus sayanus,Pirate perch,"The pirate perch, endemic to the eastern U.S., inhabits swamps and slow-moving streams. Unique among fishes, its urogenital opening is located near its throat. It feeds on insects and small crustaceans."
Archoplites interruptus,Sacramento perch,"The Sacramento perch is native to California, once widespread in rivers and lakes. It is now rare due to competition with introduced species. It feeds on insects, crustaceans, and small fish."
Astronotus ocellatus,Oscar,"The oscar, native to the Amazon basin, is a large, popular aquarium cichlid. It inhabits slow-moving rivers and floodplains, feeding on insects, crustaceans, and small fish. Known for its intelligence and ability to recognize owners in captivity."
Betta imbellis,Crescent betta,"Known as the peaceful betta, this species is native to Southeast Asia. It inhabits rice paddies and streams, breathing air via a labyrinth organ. Less aggressive than Betta splendens, it is still bred for aquaria."
Betta splendens,Siamese fighting fish,"The Siamese fighting fish, native to Thailand and Cambodia, is renowned for its aggressive behavior and vibrant colors. Males build bubble nests and fiercely defend territory. Extensively bred, it is among the world’s most popular aquarium fish."
Caquetaia kraussii,,"Native to Colombia and Venezuela, this cichlid inhabits slow-moving rivers and floodplain lakes. It feeds on small invertebrates and plant matter and exhibits parental care. Valued in aquaculture and aquaria."
Centrarchus macropterus,Flier,"The flier sunfish, found in slow, vegetated waters of the southeastern U.S. It feeds on insects, crustaceans, and small fish. Popular with anglers but less widespread than other sunfish."
Channa maculata,Blotched snakehead,"The blotched snakehead, native to China and Vietnam, inhabits ponds, rivers, and rice paddies. It is a predatory species feeding on fish, frogs, and insects. Highly invasive outside its native range."
Chasmistes brevirostris,Shortnose sucker,"The shortnose sucker, endemic to Upper Klamath Lake in Oregon, U.S. It inhabits lakes and slow rivers, feeding on algae and detritus. Listed as endangered due to habitat degradation and competition with invasive species."
Cichlasoma bimaculatum,Black acara,"A South American cichlid inhabiting slow rivers and floodplain lakes. It feeds on plants, detritus, and invertebrates. Known for its adaptability and parental care."
Coptodon zillii,Redbelly tilapia,"The redbelly tilapia, widespread in Africa and the Middle East, inhabits lakes, rivers, and coastal lagoons. It feeds on algae, detritus, and plants. Introduced to many countries for aquaculture and weed control."
Cottus asper,Prickly sculpin,"Known as the prickly sculpin, native to western North America. It inhabits rivers, lakes, and estuaries, feeding on insects, crustaceans, and small fish. It is adaptable and important in food webs."
Cottus bairdii,Mottled sculpin,"The mottled sculpin, native to cold, clear streams across North America. It feeds on aquatic insects, small crustaceans, and fish eggs. Considered an indicator of water quality."
Cottus gobio,Bullhead,"The European bullhead, widespread across Europe in cool, clear rivers and streams. It is a benthic species feeding on insect larvae and small invertebrates. Sensitive to pollution, it is used as a bioindicator."
Cryptoheros spilurus,Blue-eye cichlid,"A small cichlid from Central America, inhabiting rivers with rocky and sandy substrates. It feeds on algae, insects, and detritus and exhibits parental care. Sometimes kept in aquaria."
Ctenopoma nigropannosum,Twospot climbing perch,"A labyrinth fish native to Central Africa, inhabiting slow, vegetated waters. It feeds on insects, crustaceans, and small fish. Uses its labyrinth organ to breathe atmospheric air."
Culaea inconstans,Brook stickleback,"The brook stickleback, native to North America, inhabits small streams, ponds, and lakes. Males build nests and guard eggs aggressively. It feeds on insect larvae, zooplankton, and detritus."
Cyprinella spiloptera,Spotfin shiner,"The spotfin shiner, widespread in eastern North America. It inhabits streams and rivers, feeding on insects and algae. Males develop bright breeding colors in the spawning season."
Dallia pectoralis,Alaska blackfish,"The Alaska blackfish, native to Alaska and Siberia, inhabits cold, vegetated wetlands. It can breathe air and survive in low-oxygen conditions. It feeds on invertebrates and small fish."
Dichotomyctere nigroviridis,Spotted green pufferfish,"The green spotted pufferfish, found in brackish and freshwater habitats of Southeast Asia. It feeds on mollusks, crustaceans, and snails, using its strong beak-like teeth. A popular aquarium species, though requiring special care."
Enneacanthus gloriosus,Bluespotted sunfish,"The bluespotted sunfish, native to the eastern U.S., inhabits vegetated ponds, swamps, and streams. It feeds on insects and small crustaceans. Its small size and tolerance of low-oxygen habitats make it adaptable."
Etheostoma cragini,Arkansas darter,"Known as the Arkansas darter, native to the central U.S. It inhabits cool, clear streams with sandy substrates, feeding on insects and small invertebrates. Considered near threatened due to habitat alteration."
Etheostoma nigrum,Johnny darter,"The johnny darter, widespread across North America, inhabits streams and lakes with sandy bottoms. It feeds on aquatic insects and larvae and is recognized for its mottled color pattern."
Etheostoma nuchale,Watercress darter,"Known as the watercress darter, endemic to Alabama, U.S. It inhabits spring-fed creeks with aquatic vegetation and feeds on small invertebrates. Listed as endangered due to restricted distribution."
Etheostoma olmstedi,Tessellated darter,"The tessellated darter, native to eastern North America, inhabits streams and rivers with sandy or gravelly substrates. It feeds on insect larvae and small invertebrates. It is widespread and common."
Gasterosteus aculeatus,Three-spined stickleback,"The three-spined stickleback, widespread across the Northern Hemisphere. It inhabits fresh and coastal waters, known for its elaborate courtship and nesting behavior. A model organism in evolutionary biology."
Giuris margaritaceus,Snakehead gudgeon,"A goby species native to the Indo-Pacific, inhabiting estuaries, rivers, and coastal lagoons. It feeds on benthic invertebrates and detritus. Important for small-scale fisheries."
Hemichromis bimaculatus,Jewelfish,"The jewel cichlid, native to West Africa, is recognized by its bright red coloration with iridescent spots. It inhabits rivers and lakes, feeding on insects, crustaceans, and small fish. Aggressive but popular in aquaria."
Hemichromis elongatus,Banded jewel cichlid,"A jewel cichlid species from West Africa, inhabiting rivers with rocky and sandy substrates. It feeds on insects and small fish and is known for its territorial behavior. Sometimes collected for aquaria."
Hemichromis fasciatus,Banded jewelfish,"The banded jewel cichlid, native to West Africa, is larger than other Hemichromis species. It feeds on invertebrates and small fishes and is known for its aggressiveness. Important in local fisheries."
Hemichromis letourneuxi,Jewel fish,"The African jewelfish, distributed across North Africa and introduced elsewhere. It inhabits rivers and lakes and feeds on insects, crustaceans, and small fishes. It is invasive in some areas, outcompeting native species."
Herichthys carpintis,Lowland cichlid,"Known as the Texas cichlid, native to northeastern Mexico. It inhabits rivers and lakes, feeding on detritus, plants, and invertebrates. It is the only cichlid native to the United States."
Herichthys cyanoguttatus,Rio Grande cichlid,"Another form of the Texas cichlid, characterized by blue-green spots on its body. It feeds on plants, detritus, and invertebrates. Commonly found in the Rio Grande basin."
Herichthys minckleyi,Minkley's cichlid,"Endemic to Cuatro Ciénegas in Mexico, this cichlid shows trophic polymorphism with different jaw forms. It inhabits springs and streams, feeding variably on snails, algae, or detritus. It is critically endangered due to habitat loss."
Hoplosternum littorale,Atipa,A South American armored catfish inhabiting rivers and floodplains. It can breathe atmospheric air and survives in low-oxygen waters. Valued as a food fish in parts of South America.
Hypsophrys nicaraguensis,Moga,"Known as the moga, a cichlid from Central America inhabiting lakes and rivers. It feeds on detritus, plants, and invertebrates and exhibits biparental care. Popular in aquaria for its golden coloration."
Ichthyomyzon unicuspis,Silver lamprey,"The silver lamprey, native to North America, is a parasitic lamprey that attaches to fish and feeds on blood. It inhabits rivers and lakes, spawning in gravel streams. Unlike invasive sea lampreys, it coexists with native fishes."
Ictalurus lupus,Headwater catfish,"The headwater catfish, native to Texas and Mexico. It inhabits small rivers and streams with rocky bottoms and feeds on insects, crustaceans, and small fishes. Populations are declining due to habitat loss."
Jordanella floridae,Flagfish,"Known as the flagfish, native to Florida and Cuba. It inhabits vegetated ponds, swamps, and slow rivers, feeding on algae, detritus, and insects. Used in aquaria and mosquito control programs."
Knipowitschia caucasica,Caucasian dwarf goby,"A very small goby native to the Black and Caspian Sea drainages, usually found in shallow coastal waters and estuaries."
Lepomis gulosus,Warmouth,"Known as the warmouth, this North American sunfish has a large mouth, mottled brown pattern, and prefers vegetated lakes and slow rivers."
Lepomis macrochirus,Bluegill,"The bluegill is a common sunfish of North America, recognized by its deep body and black ear flap, important in sport fishing."
Lepomis megalotis,Longear sunfish,"Called the longear sunfish, it is small, brightly colored, and notable for its elongated opercular flap, inhabiting clear streams."
Lepomis microlophus,Redear sunfish,"Known as the redear sunfish or shellcracker, this species feeds on snails and mollusks and is a popular game fish in the southeastern USA."
Lepomis punctatus,Spotted sunfish,"The spotted sunfish is a small, dark-spotted sunfish of the southeastern USA, thriving in rivers, swamps, and backwaters."
Leporinus fasciatus,Banded leporinus,"A South American characiform fish with striking black and yellow vertical bands, often kept in aquariums for its active behavior."
Leucaspius delineatus,Belica,"Known as the sunbleak, this small European cyprinid forms large shoals in rivers and lakes, serving as prey for larger fishes."
Macropodus opercularis,Paradisefish,"The paradise fish is a hardy, colorful labyrinth fish from East Asia, among the first species kept in aquariums."
Mayaheros urophthalmus,Mexican mojarra,"Called the Mayan cichlid, this Central American fish has a dark spot near the tail and has become invasive in Florida waters."
Micropercops cinctus,,"A small sleeper goby from East Asia, usually inhabiting streams and slow-moving waters with sandy bottoms."
Micropterus coosae,Redeye bass,"The redeye bass is a small black bass native to southeastern USA, recognized by its reddish eyes and preference for cool streams."
Micropterus treculii,Guadalupe bass,"Endemic to Texas, the Guadalupe bass is the official state fish, threatened by hybridization with introduced bass species."
Nandopsis tetracanthus,Biajaca,"The Cuban cichlid is an aggressive predator endemic to Cuba, noted for its robust body and territorial behavior."
Noturus flavus,Stonecat,"Known as the stonecat, this North American catfish has a yellow-brown body and hides among rocks in fast-flowing streams."
Noturus gilberti,Orangefin madtom,"The orangefin madtom is a small, rare catfish from Virginia, with males showing bright orange fins during breeding."
Noturus insignis,Margined madtom,"The margined madtom is a small eastern US catfish, recognizable by its dusky body and dark fin margins."
Novumbra hubbsi,Olympic mudminnow,"Called the Olympic mudminnow, it is a wetland fish endemic to Washington State, tolerant of low oxygen and cold water."
Omobranchus ferox,Gossamer blenny,"A small blenny found in Indo-Pacific estuaries, with a blunt head, comb-like teeth, and cryptic coloration."
Ophisternon aenigmaticum,Obscure swamp eel,"The swamp eel is a Neotropical fish with an elongated body, able to breathe air and burrow in muddy habitats."
Oxyeleotris lineolata,Sleepy cod,"Known as the sleepy cod, this Australian species is a large ambush predator highly valued as a food fish."
Pelmatolapia mariae,Spotted tilapia,"The spotted tilapia is an African cichlid with black blotches on its body, often invasive outside its native range."
Pelvicachromis pulcher,Rainbow krib,"Popularly called kribensis, this West African dwarf cichlid is brightly colored and widely kept in aquariums."
Pimephales notatus,Bluntnose minnow,The bluntnose minnow is a common North American baitfish with a dark lateral stripe and blunt snout.
Pimephales promelas,Fathead minnow,"Known as the fathead minnow, this hardy species is used in bait and laboratory toxicity testing."
Pomoxis annularis,White crappie,"The white crappie is a North American sunfish with vertical body bars, popular in sport and commercial fishing."
Ponticola kessleri,Bighead goby,"The bighead goby is a Ponto-Caspian species that has spread widely in European rivers, often outcompeting native fish."
Pterygoplichthys multiradiatus,Orinoco sailfin catfish,"A South American sailfin catfish with armored plates, now invasive in many tropical waters worldwide."
Pungitius platygaster,Southern ninespine stickleback,"A small stickleback native to the Black Sea basin, typically found in slow or still waters."
Pungitius pungitius,Ninespine stickleback,"The nine-spined stickleback is a small fish of northern fresh and brackish waters, adaptable and wide-ranging."
Rhinogobius brunneus,Amur goby,"A small amphidromous goby from East Asia, often living in rivers and estuaries, with males defending nests."
Rocio octofasciata,Jack Dempsey,"Known as the Jack Dempsey, a Central American cichlid with dark bars and iridescent blue-green spots, popular in aquariums."
Sandelia capensis,Cape kurper,"The Cape kurper, a South African freshwater species resembling cichlids, found in rocky streams and rivers."
Symphysodon discus,Red discus,"The discus fish, native to the Amazon, is round-bodied and brightly patterned, prized in the aquarium trade."
Telmatochromis bifrenatus,,"A small Lake Tanganyika cichlid that hides among rocks and shells, with slender body and subtle coloration."
Thorichthys meeki,Firemouth cichlid,"Called the firemouth cichlid, this Central American fish displays a vivid red throat when threatened or breeding."
Tilapia sparrmanii,Banded tilapia,"The banded tilapia, native to southern Africa, is a hardy cichlid with faint vertical stripes, common in rivers and lakes."
Trichogaster fasciata,Banded gourami,"Known as the banded gourami, a South Asian labyrinth fish with striped body and tolerance for low-oxygen waters."
Trichogaster labiosa,Thick lipped gourami,"The thick-lipped gourami, a Southeast Asian species with fleshy lips and reddish coloration, often kept in aquaria."
Trichogaster lalius,Dwarf gourami,"The dwarf gourami, native to South Asia, is a small, colorful fish with bright red and blue patterns."
Trichopodus leerii,Pearl gourami,"The pearl gourami, a peaceful Southeast Asian species with pearl-like spots and a long filamentous ventral fin."
Trichopodus trichopterus,Three spot gourami,"Known as the three-spot gourami, this hardy species has two body spots plus the eye, and comes in several color forms."
Trichopsis vittata,Croaking gourami,"The croaking gourami, a small Southeast Asian fish that produces audible croaking sounds during displays."
Tridentiger trigonocephalus,Chameleon goby,"The chameleon goby, an East Asian species inhabiting estuaries, known for its camouflage ability and triangular head."
Umbra pygmaea,Eastern mudminnow,"The eastern mudminnow, a small North American fish living in vegetated ponds and streams, tolerant of low oxygen."
Vieja maculicauda,Blackbelt cichlid,"The blackbelt cichlid from Central America, recognized by its bold dark mid-body band, is aggressive and territorial."
Vieja melanurus,Redhead cichlid,"Known as the redhead cichlid, males develop a bright red head and nuchal hump, native to Central American rivers."
Andinoacara rivulatus,Green terror,"The green terror, a South American cichlid with metallic green-blue scales and orange fin edges, is known for its aggression."
Monopterus albus,Asian swamp eel,"The Asian swamp eel, an elongate, air-breathing fish that inhabits rice paddies and wetlands, valued as food."
Ambloplites constellatus,Ozark bass,"The Ozark bass, a sunfish endemic to clear streams of the Ozarks, has a speckled pattern and prefers rocky habitats."
Hemichromis guttatus,,"The Guinea jewel cichlid, a West African species, has a bright red body with iridescent blue spots."
Pimephales vigilax,Bullhead minnow,"The bullhead minnow, a small cyprinid from central USA rivers, is a hardy baitfish and tolerant of varied habitats."
Ponticola gorlap,Caspian bighead goby,"The monkey goby, a Ponto-Caspian fish that grows up to 20 cm, has become invasive in European waterways."
Proterorhinus semilunaris,Western tubenose goby,"The western tubenose goby, a Ponto-Caspian species, is small with a tubular snout and has spread into Europe."
Pterygoplichthys disjunctivus,Vermiculated sailfin catfish,"The vermiculated sailfin catfish, a large armored pleco from South America, is invasive in many tropical regions."
Tridentiger bifasciatus,Shimofuri goby,"The shimofuri goby, native to East Asia, has two dark body bands and is now introduced to North America."
Etheostoma caeruleum,Rainbow darter,"The rainbow darter, a small North American fish with brilliant blue and orange colors during breeding."
Etheostoma rufilineatum,Redline darter,"Known as the redline darter, this southeastern US species has vivid red fin stripes and lives in rocky streams."
Fundulus chrysotus,Golden topminnow,"The golden topminnow, a small killifish from the southeastern USA, has a golden sheen and lives in weedy waters."
Fundulus heteroclitus,Mummichog,"The mummichog, a hardy estuarine killifish from eastern North America, is widely used in toxicology studies."
Salmo carpio,,"The Lake Garda trout, a salmonid endemic to Italy’s Lake Garda, is critically endangered with limited distribution."
Labeo capensis,Orange river mudfish,"The Orange River mudfish, a southern African cyprinid that grows large and feeds on detritus and algae."
Astyanax jordani,,"The blind cave tetra, a Mexican cave-dwelling form of Astyanax, has lost its eyes and pigment."
Cobitis bilineata,,"The Italian spined loach, a small bottom-dwelling fish with two dark body stripes, endemic to Italy."
Cyprinodon pisteri,Palomas pupfish,"A desert pupfish from Mexico, very small and tolerant of extreme salinity and temperature."
Melanotaenia boesemani,Boeseman's rainbowfish,"Boeseman’s rainbowfish, a New Guinea species with striking orange and blue coloration, popular in aquaria."
Melanotaenia lacustris,Lake Kutubu rainbowfish,"The Lake Kutubu rainbowfish, endemic to Papua New Guinea, has a brilliant turquoise body and is highly sought in aquariums."
Schilbe intermedius,Silver catfish,"The silver catfish, a schooling African species with silvery body, important in inland fisheries."
Trinectes maculatus,Hogchoker,"The hogchoker, a small flatfish of the western Atlantic, oval-shaped with dark bars and able to live in brackish water."
Acheilognathus macropterus,,"The largefin bitterling, an East Asian cyprinid that lays eggs in freshwater mussels, with males showing red fins in breeding."
Alosa aestivalis,Blueback shad,"The blueback herring, an anadromous North American fish that migrates upriver to spawn in spring."
Alosa pseudoharengus,Alewife,"The alewife, a small herring that spawns in rivers and is a key prey fish, invasive in the Great Lakes."
Anablepsoides hartii,Hart's rivulus,"Hart’s killifish, endemic to Trinidad, is a small freshwater species with marked sexual dimorphism."
Aphyocharax anisitsi,Bloodfin tetra,"The bloodfin tetra, a small South American characin with silver body and bright red fins, common in aquaria."
Aplocheilus panchax,Blue panchax,"The blue panchax, a hardy surface-dwelling killifish from South Asia, with a slender body and iridescent sheen."
Astyanax mexicanus,Mexican tetra,"The Mexican tetra occurs in both surface-dwelling and blind cave forms, making it a classic model for studying evolution."
Atherina boyeri,Big-scale sand smelt,"The big-scale sand smelt, a small schooling fish of coastal Europe and the Mediterranean, often entering lagoons."
Catostomus commersonii,White sucker,"The white sucker is a North American freshwater fish with a downturned mouth, common in rivers and lakes."
Catostomus santaanae,Santa Ana sucker,"The Santa Ana sucker, endemic to southern California rivers, is a small threatened species."
Cheilobarbus capensis,Cape whitefish,"The smallscale yellowfish is a southern African cyprinid, valued in recreational fishing and inhabiting rivers."
Cheirodon interruptus,Uruguay tetra,"A small South American tetra with a silver body and dark midline stripe, common in aquariums."
Chrosomus eos,Northern redbelly dace,The northern redbelly dace is a small North American minnow with red coloration on the belly during breeding.
Clinostomus elongatus,Redside dace,"The redside dace, a North American minnow, shows brilliant red along its flanks during spawning season."
Cobitis arachthosensis,,"A spined loach endemic to Greece, inhabiting clear streams and characterized by small body size."
Coregonus artedi,Cisco,The cisco or lake herring is a North American salmonid important in the Great Lakes as forage fish.
Coregonus macrophthalmus,Gangfisch,"The large-eye whitefish, endemic to Lake Constance in Europe, is now considered extinct."
Coregonus sardinella,Sardine cisco,"The least cisco is an Arctic whitefish with slender body, common in northern rivers and lakes."
Corydoras aeneus,Bronze corydoras,"The bronze corydoras is a hardy South American catfish with armored plates, often kept in aquariums."
Couesius plumbeus,Lake chub,"The lake chub, a North American cyprinid, is widespread in lakes and rivers across Canada and northern USA."
Crenichthys baileyi,White River springfish,"The White River springfish, endemic to Nevada springs, is a small endangered pupfish relative."
Ctenolucius hujeta,Gar characin,"Known as the rocket gar or hujeta gar, this slender South American predator has a long snout and lives near the surface."
Cyprinella lutrensis,Red shiner,"The red shiner is a hardy, brightly colored minnow of central USA rivers, often introduced outside its range."
Cyprinodon diabolis,Devils Hole pupfish,"The Devils Hole pupfish, among the rarest fish in the world, survives only in a single Nevada spring."
Cyprinodon eremus,Sonoyta pupfish,"The desert pupfish of Quitobaquito Springs, Arizona, is small and endangered due to habitat loss."
Cyprinodon nevadensis,Amargosa pupfish,"The Amargosa pupfish, native to desert springs of Nevada and California, tolerates extreme salinity."
Cyprinodon radiosus,Owens pupfish,"The Owens pupfish, from Owens Valley, California, is endangered and restricted to small habitats."
Cyprinodon rubrofluviatilis,Red River pupfish,"The red River pupfish, native to Texas and Oklahoma, is a small hardy fish of streams and rivers."
Cyprinodon salinus,Salt Creek pupfish,"The Death Valley pupfish, restricted to desert springs of California, tolerates high salinity and heat."
Cyprinodon variegatus,Sheepshead minnow,"The sheepshead minnow, a small killifish from the Americas, is tolerant of extreme salinity and widely studied."
Devario malabaricus,Malabar danio,"The giant danio, native to South Asia, is an active schooling fish with blue and gold stripes."
Dorosoma cepedianum,American gizzard shad,"The gizzard shad, a filter-feeding herring from North America, is important as forage in lakes and rivers."
Dorosoma petenense,Threadfin shad,"The threadfin shad, a small schooling fish with filamentous fins, is common in reservoirs of North America."
Enteromius anoplus,Chubbyhead barb,"The chubbyhead barb, a small African cyprinid, inhabits streams and rivers across southern Africa."
Eremichthys acros,Desert dace,"The Umatilla dace, a small desert minnow endemic to Nevada, restricted to warm springs."
Erimyzon sucetta,Lake chubsucker,"The lake chubsucker, a North American sucker with a short, blunt snout, found in lakes and wetlands."
Esox niger,Chain pickerel,"The chain pickerel, a North American pike with chain-like markings, is an aggressive predator."
Etheostoma blennioides,Greenside darter,"The greenside darter, a North American species, shows bright green markings on fins and inhabits riffles."
Etheostoma edwini,Brown darter,"The brown darter, endemic to Florida streams, is a small species with mottled brown coloration."
Etheostoma exile,Iowa darter,"The Iowa darter, a northern species with small size and breeding males that turn red and green."
Etheostoma fonticola,Fountain darter,"The fountain darter, endemic to Texas springs, is federally endangered and only a few cm long."
Etheostoma fusiforme,Swamp darter,"The swamp darter, a small North American darter living in swamps, ponds, and sluggish waters."
Etheostoma zonale,Banded darter,"The banded darter, native to central USA, has dark body bands and lives in clear streams."
Fundulus diaphanus,Banded killifish,"The banded killifish, a small striped topminnow from North America, often found in schools."
Fundulus lineolatus,Lined topminnow,"The lined topminnow, a southeastern USA killifish with horizontal stripes, inhabits slow waters."
Fundulus zebrinus,Plains killifish,"The plains killifish, a small striped fish from central USA streams and ponds, tolerant of varied habitats."
Galaxias maculatus,Inanga,"The common galaxias, a southern hemisphere fish, forms whitebait runs and inhabits streams and estuaries."
Gila orcuttii,Arroyo chub,"The Arroyo chub, native to California, is a small minnow restricted to streams in southern basins."
Gobio gobio,Gudgeon,"The gudgeon, a small European cyprinid with barbels, common in rivers and streams."
Gymnocorymbus ternetzi,Black tetra,"The black tetra or black skirt tetra, a South American aquarium fish with high body and dark bars."
Gyrinocheilus aymonieri,Siamese algae-eater,"The Chinese algae eater, a Southeast Asian fish with a sucker mouth, often used in aquariums."
Hemibarbus maculatus,Spotted steed,"A small East Asian cyprinid with dark spots along its body, common in rivers."
Herklotsichthys quadrimaculatus,Bluestripe herring,"The goldspot sardine, an Indo-Pacific schooling fish with four gold spots along the body."
Hiodon alosoides,Goldeye,"The goldeye, a North American mooneye with golden iris, found in lakes and large rivers."
Hybognathus hankinsoni,Brassy minnow,"The brassy minnow, a small silvery fish of northern North America, inhabiting streams and ponds."
Hybognathus nuchalis,Mississippi silvery minnow,"The Mississippi silvery minnow, a small cyprinid widespread in southern USA rivers."
Hybognathus placitus,Plains minnow,"The plains minnow, a silvery fish inhabiting rivers and streams of the Great Plains."
Hybognathus regius,Eastern silvery minnow,"The eastern silvery minnow, a small cyprinid found in Atlantic drainages of North America."
Hyphessobrycon eques,Jewel tetra,"The serpae tetra, a South American aquarium species with reddish body and a dark shoulder spot."
Hypomesus transpacificus,Delta smelt,"The delta smelt, a small endangered fish endemic to the Sacramento–San Joaquin Delta in California."
Iberochondrostoma lusitanicum,,"The Portuguese nase, a small cyprinid endemic to Portugal, inhabiting rivers and streams."
Iotichthys phlegethontis,Least chub,"The least chub, endemic to Utah, is a tiny minnow now endangered due to habitat loss."
Labeobarbus natalensis,Scaly,"The scaly yellowfish, native to South Africa, is a cyprinid that inhabits rivers and dams."
Lepidomeda albivallis,White River spinedace,"The Pahranagat roundtail chub, endemic to Nevada, is an endangered desert fish."
Lucania goodei,Bluefin killifish,"The bluefin killifish, a small species from the southeastern USA, has bright blue fins in males."
Lythrurus fasciolaris,Scarlet shiner,"The scarlet shiner, a small minnow from eastern USA, shows brilliant red coloration in breeding males."
Lythrurus matutinus,Pinewoods shiner,"The pinewoods shiner, a small minnow restricted to streams in the southeastern USA."
Macrhybopsis meeki,Sicklefin chub,"The sicklefin chub, a Great Plains river fish with long pectoral fins, now threatened."
Macrognathus siamensis,Peacock eel,"The peacock eel, a Southeast Asian spiny eel with ocellated spots, often kept in aquaria."
Margariscus margarita,Allegheny pearl dace,"The pearl dace, a small North American minnow found in cool streams and lakes."
Meda fulgida,Spikedace,"The spikedace, a small endangered cyprinid native to desert streams in Arizona and New Mexico."
Melanotaenia nigrans,Blackbanded rainbowfish,"The black-banded rainbowfish, native to northern Australia, has dark lateral bands and iridescent body."
Melanotaenia splendida,Eastern rainbowfish,"The eastern rainbowfish, a colorful species from northern and eastern Australia, forms large shoals in streams."
Minytrema melanops,Spotted sucker,"The spotted sucker, a North American fish with rows of dark spots along its body, common in rivers."
Misgurnus fossilis,Weatherfish,"The weatherfish, a European loach that burrows in mud and becomes active during atmospheric changes."
Moapa coriacea,Moapa dace,"The Moapa dace, a critically endangered minnow endemic to warm springs of Nevada."
Moenkhausia sanctaefilomenae,Redeye tetra,"The red-eye tetra, a South American species with a silver body and distinctive red eye, common in aquariums."
Monodactylus sebae,African moony,"The African moony, a brackish-water fish with a diamond-shaped body, often kept in aquariums."
Morone chrysops,White bass,"The white bass, a North American sport fish with silver body and horizontal stripes, common in reservoirs."
Morone mississippiensis,Yellow bass,"The yellow bass, a small sport fish from the Mississippi basin, with golden stripes along the body."
Moxostoma congestum,Gray redhorse,"The gray redhorse, a sucker fish native to rivers of Texas and Mexico."
Mylocheilus caurinus,Peamouth,"The peamouth, a cyprinid from western North America, known for large spawning runs in rivers."
Myloplus rubripinnis,Redhook myleus,"The redhook silver dollar, a South American fish with deep body and red-tinted fins, kept in aquariums."
Nematolebias whitei,Rio pearlfish,"White’s killifish, a seasonal killifish from Brazil that inhabits temporary pools and has bright breeding colors."
Nocomis biguttatus,Hornyhead chub,"The hornyhead chub, a North American minnow whose breeding males develop large tubercles on the head."
Nocomis micropogon,River chub,"The river chub, a widespread North American species known for building large gravel nests during spawning."
Nothobranchius guentheri,Redtail notho,"A colorful seasonal killifish from East Africa, adapted to temporary pools, with males showing bright red and blue patterns."
Notropis atherinoides,Emerald shiner,"The emerald shiner, a small schooling minnow from North America with silvery-green sheen, abundant in lakes and rivers."
Notropis blennius,River shiner,"The river shiner, a North American cyprinid inhabiting large rivers, with slender body and dusky coloration."
Notropis buccula,Smalleye shiner,"The smalleye shiner, endemic to Texas, restricted to the Brazos River, and considered threatened."
Notropis dorsalis,Bigmouth shiner,"The bigmouth shiner, a central USA minnow with a large mouth and preference for sandy rivers."
Notropis girardi,Arkansas River shiner,"The Arkansas River shiner, a small endangered cyprinid adapted to sandy rivers of the southern Great Plains."
Notropis rubellus,Rosyface shiner,"The rosyface shiner, a stream fish of eastern USA, males turn vivid red during spawning."
Oncorhynchus apache,Apache trout,"The Apache trout, Arizona’s state fish, is a rare golden salmonid native to high-altitude streams."
Oncorhynchus gilae,Gila trout,"The Gila trout, native to New Mexico and Arizona streams, is endangered but subject to recovery efforts."
Oryzias sinensis,,"A small ricefish from East Asia, often living in shallow ponds and rice paddies."
Osmerus mordax,Rainbow smelt,"The rainbow smelt, an anadromous fish of North America, important as forage and in commercial fisheries."
Pangio kuhlii,Coolie loach,"The kuhli loach, a slender, eel-like aquarium fish from Southeast Asia, with dark bands on its body."
Paracheirodon innesi,Neon tetra,"The neon tetra, a small Amazonian fish with striking blue and red stripes, highly popular in aquariums."
